"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.864336814E2,6.504293661E1,2.545040483E1,2.287023017E1,1.460000038E0,3.437000122E2,3.790092468E0,2.500000000E0
1.874344389E2,6.504294955E1,2.545039600E1,2.305131549E1,1.480000019E0,3.412000122E2,3.790092468E0,2.500000000E0
1.884344783E2,6.504296242E1,2.545038700E1,2.352073091E1,1.559999943E0,3.426000061E2,3.790092468E0,2.500000000E0
1.894345406E2,6.504297442E1,2.545037778E1,2.351730730E1,1.379999995E0,3.386000061E2,3.790092468E0,2.500000000E0
1.904337320E2,6.504298637E1,2.545036901E1,2.354403511E1,1.490000010E0,3.446000061E2,3.790092468E0,2.500000000E0
1.914336586E2,6.504299837E1,2.545035774E1,2.348238376E1,1.470000029E0,3.407000122E2,3.790092468E0,2.500000000E0
1.924345187E2,6.504301082E1,2.545034996E1,2.329921157E1,1.460000038E0,3.450000000E2,3.790092468E0,2.500000000E0
1.934339621E2,6.504302275E1,2.545034349E1,2.302741667E1,1.370000005E0,3.440000000E2,3.790092468E0,2.500000000E0
1.944342495E2,6.504303456E1,2.545033613E1,2.303040200E1,1.409999967E0,3.466000061E2,3.790092468E0,2.500000000E0
1.954345361E2,6.504304758E1,2.545032709E1,2.256720016E1,1.419999957E0,3.413999939E2,3.790092468E0,2.500000000E0
1.964337594E2,6.504306047E1,2.545031360E1,2.231701064E1,1.519999981E0,3.423999939E2,3.790092468E0,2.500000000E0
1.974340530E2,6.504307351E1,2.545030348E1,2.232939463E1,1.490000010E0,3.467999878E2,3.790092468E0,2.500000000E0
1.984338085E2,6.504308660E1,2.545029122E1,2.250223982E1,1.549999952E0,3.408999939E2,3.790092468E0,2.500000000E0
1.994339234E2,6.504309945E1,2.545028236E1,2.245865477E1,1.549999952E0,3.425000000E2,3.790092468E0,2.500000000E0
2.004339565E2,6.504311173E1,2.545027227E1,2.269516016E1,1.529999971E0,3.435000000E2,3.790092468E0,2.500000000E0
2.014341177E2,6.504312351E1,2.545026352E1,2.276967857E1,1.450000048E0,3.440000000E2,3.790092468E0,2.500000000E0
2.024345640E2,6.504313474E1,2.545025481E1,2.257594769E1,1.409999967E0,3.441000061E2,3.790092468E0,2.500000000E0
2.034343846E2,6.504314849E1,2.545024616E1,2.266755517E1,1.490000010E0,3.397000122E2,3.790092468E0,2.500000000E0
2.044337558E2,6.504316168E1,2.545023683E1,2.264502707E1,1.500000000E0,3.417999878E2,3.790092468E0,2.500000000E0
2.054340892E2,6.504317589E1,2.545022825E1,2.261267197E1,1.480000019E0,3.435000000E2,3.790092468E0,2.500000000E0
2.064338158E2,6.504318959E1,2.545021967E1,2.272289520E1,1.529999971E0,3.416000061E2,3.790092468E0,2.500000000E0
2.074339617E2,6.504320217E1,2.545020500E1,2.285686096E1,1.490000010E0,3.400000000E2,3.790092468E0,2.500000000E0
2.084344591E2,6.504321444E1,2.545018999E1,2.265910074E1,1.490000010E0,3.422999878E2,3.790092468E0,2.500000000E0
2.094338154E2,6.504322652E1,2.545017738E1,2.233109180E1,1.409999967E0,3.421000061E2,3.790092468E0,2.500000000E0
2.104342092E2,6.504324024E1,2.545016666E1,2.238528454E1,1.529999971E0,3.413999939E2,3.790092468E0,2.500000000E0
2.114345086E2,6.504325441E1,2.545015903E1,2.286428209E1,1.580000043E0,3.448999939E2,3.790092468E0,2.500000000E0
2.124340626E2,6.504326771E1,2.545014660E1,2.279713694E1,1.460000038E0,3.411000061E2,3.790092468E0,2.500000000E0
2.134342729E2,6.504328168E1,2.545013655E1,2.297669586E1,1.580000043E0,3.447999878E2,3.790092468E0,2.500000000E0
2.144337692E2,6.504329509E1,2.545012601E1,2.266803474E1,1.539999962E0,3.418999939E2,3.790092468E0,2.500000000E0
